k2,model,NA,ratio,time
600,LS,1229119.941,0.524361949,0.011462688
600,LAV,1242653.324,0.522041763,0.034312248
600,SVR,1234895.848,0.522041763,0.932398558
600,MLP,1210044.199,0.503480278,53.56892419
600,AsyLAV,686994.4343,0.88863109,10.65842772
600,AsySVR,682822.2151,0.890951276,12.20644903
900,LS,1762172.704,0.524361949,0.011462688
900,LAV,1787169.866,0.522041763,0.034312248
900,SVR,1773109.208,0.522041763,0.932398558
900,MLP,1739095.617,0.503480278,53.56892419
900,AsyLAV,768859.9909,0.903712297,10.65570331
900,AsySVR,765841.9603,0.910672854,12.63434815
